,result
533,0
534,0
535,1
536,1
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,0
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,1
576,1
577,0
578,1
579,0
580,1
581,0
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,0
605,0
606,0
607,1
608,0
609,0
610,1
611,0
612,0
613,0
614,0
615,0
616,1
617,0
618,0
619,0
620,1
621,1
622,0
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,0
638,1
639,0
640,1
641,0
642,1
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,0
651,1
652,0
653,0
654,0
655,1
656,1
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,1
672,0
673,0
674,1
675,0
676,0
677,1
678,0
679,0
680,0
681,1
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,1
719,0
720,0
721,1
722,1
723,1
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,1
732,0
733,0
734,0
735,0
736,1
737,0
738,0
739,1
740,0
741,0
742,0
743,0
744,0
745,1
746,1
747,0
748,1
749,0
750,0
751,0
752,1
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,1
762,0
763,1
764,0
765,1
766,0
767,0
768,0
769,0
770,1
771,0
772,0
773,1
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,0
787,0
788,0
789,0
790,0
791,1
792,1
793,0
794,0
795,1
796,0
797,0
798,0
799,1
800,1
801,0
802,0
803,1
804,1
805,0
806,1
807,0
808,0
809,1
810,1
811,1
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,1
820,0
821,1
822,1
823,0
824,0
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,1
835,1
836,0
837,1
838,1
839,1
840,0
841,0
842,1
843,1
844,0
845,0
846,0
847,1
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,1
856,0
857,0
858,1
859,1
860,1
861,0
862,0
863,0
864,1
865,0
866,0
867,1
868,0
869,0
870,0
871,0
872,1
873,0
874,1
875,0
876,0
877,0
878,0
879,0
880,0
881,1
882,0
883,1
884,0
885,0
886,0
887,0
888,0
889,0
890,1
891,1
892,0
893,0
894,0
895,1
896,0
897,0
898,0
899,1
900,0
901,1
902,1
903,0
904,0
905,1
906,1
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,1
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,1
932,1
933,0
934,1
935,0
936,0
937,1
938,0
939,0
940,1
941,0
942,0
943,0
944,1
945,1
946,1
947,1
948,0
949,0
950,0
951,0
952,0
953,0
954,1
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,1
965,0
966,0
967,0
968,0
969,1
970,1
971,0
972,1
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,1
981,0
982,0
983,0
984,1
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,1
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,0
1004,0
1005,1
1006,0
1007,1
1008,0
1009,0
1010,0
1011,0
1012,0
1013,1
1014,1
1015,0
1016,1
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,0
1024,0
1025,0
1026,0
1027,0
1028,1
1029,0
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,0
1037,0
1038,0
1039,1
1040,0
1041,0
1042,0
1043,0
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,0
1051,0
1052,0
1053,0
1054,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,1
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1074,0
1075,0
1076,0
1077,0
1078,1
1079,1
1080,1
1081,1
1082,0
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,0
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,0
1100,1
1101,0
1102,0
1103,0
1104,0
1105,1
1106,1
1107,1
1108,0
1109,1
1110,1
1111,0
1112,0
1113,0
1114,0
1115,0
1116,1
1117,0
1118,0
1119,0
1120,1
1121,1
1122,0
1123,1
1124,0
1125,0
1126,1
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,1
1134,0
1135,0
1136,0
1137,0
1138,0
1139,1
1140,1
1141,0
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,0
1154,1
1155,0
1156,0
1157,0
1158,0
1159,0
1160,0
1161,1
1162,1
1163,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,1
1171,0
1172,1
1173,1
1174,1
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0
1184,0
1185,1
1186,1
1187,0
1188,0
1189,1
1190,0
1191,0
1192,0
1193,0
1194,1
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,1
1205,0
1206,0
1207,1
1208,0
1209,1
1210,0
1211,1
1212,0
1213,0
1214,1
1215,1
1216,0
1217,1
1218,0
1219,1
1220,0
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,0
1229,0
1230,1
1231,1
1232,1
1233,0
1234,0
1235,0
1236,0
1237,0
1238,0
1239,1
1240,0
1241,0
1242,1
1243,1
1244,0
1245,0
1246,0
1247,1
1248,1
1249,0
1250,0
1251,1
1252,1
1253,0
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,0
1261,0
1262,1
1263,0
1264,0
1265,0
1266,0
1267,0
1268,0
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,1
1276,0
1277,0
1278,0
1279,0
1280,0
1281,1
1282,0
1283,0
1284,0
1285,1
1286,0
1287,1
1288,0
1289,0
1290,1
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,1
1303,0
1304,1
1305,0
1306,0
1307,0
1308,1
1309,0
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,0
1317,0
1318,0
1319,0
1320,1
1321,1
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0
1328,0
1329,1
1330,0
1331,0
1332,0
1333,0
1334,1
1335,1
1336,0
1337,1
1338,1
1339,0
1340,1
1341,1
1342,0
1343,0
1344,0
1345,0
1346,1
1347,1
1348,1
1349,0
1350,0
1351,1
1352,0
1353,1
1354,0
1355,0
1356,0
1357,1
1358,0
1359,1
1360,1
1361,0
1362,1
1363,1
1364,0
1365,0
1366,1
1367,1
1368,1
1369,0
1370,0
1371,1
1372,0
1373,0
1374,1
1375,0
1376,0
1377,1
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,1
1393,0
1394,1
1395,1
1396,0
1397,0
1398,0
1399,0
1400,0
1401,0
1402,0
1403,0
1404,0
1405,0
1406,0
1407,0
1408,1
1409,0
1410,0
1411,0
1412,1
1413,1
1414,1
1415,0
1416,0
1417,1
1418,1
1419,0
1420,0
1421,1
1422,1
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,1
1430,0
1431,0
1432,1
1433,1
1434,0
1435,0
1436,1
1437,0
1438,1
1439,1
1440,1
1441,1
1442,0
1443,0
1444,0
1445,1
1446,1
1447,0
1448,0
1449,1
1450,1
1451,1
1452,1
1453,1
1454,0
1455,1
1456,0
1457,1
1458,0
1459,0
1460,0
1461,1
1462,0
1463,0
1464,1
1465,0
1466,0
1467,0
1468,1
1469,0
1470,0
1471,0
1472,0
1473,1
1474,0
1475,1
1476,0
1477,1
1478,0
1479,1
1480,1
1481,0
1482,0
1483,0
1484,1
1485,1
1486,0
1487,1
1488,0
1489,0
1490,0
1491,0
1492,0
1493,0
1494,0
1495,1
1496,0
1497,1
1498,1
1499,1
1500,0
1501,0
1502,0
1503,1
1504,1
1505,1
1506,1
1507,0
1508,1
1509,0
1510,1
1511,0
1512,0
1513,1
1514,1
1515,1
1516,1
1517,1
1518,0
1519,1
1520,0
1521,1
1522,1
1523,1
1524,1
1525,0
1526,0
1527,1
1528,0
1529,0
1530,0
1531,1
1532,1
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1543,0
1544,0
1545,1
1546,0
1547,0
1548,1
1549,1
1550,1
1551,0
1552,1
1553,0
1554,1
1555,0
1556,0
1557,1
1558,1
1559,0
1560,0
1561,1
1562,0
1563,1
1564,0
1565,1
1566,0
1567,1
1568,0
1569,1
1570,0
1571,0
1572,0
1573,0
1574,1
1575,1
1576,0
1577,1
1578,0
1579,0
1580,0
1581,1
1582,1
1583,1
1584,1
1585,0
1586,0
1587,1
1588,0
1589,1
1590,1
1591,1
1592,1
1593,0
1594,1
1595,1
1596,0
1597,1
1598,1
1599,0
1600,0
1601,0
1602,1
1603,0
1604,1
1605,0
1606,1
1607,1
1608,1
1609,0
1610,1
1611,0
1612,0
1613,0
1614,1
1615,1
1616,0
1617,0
1618,0
1619,1
1620,1
1621,1
1622,0
1623,0
1624,0
1625,1
1626,1
1627,0
1628,0
1629,0
1630,1
1631,0
1632,0
1633,0
1634,0
1635,1
1636,1
1637,1
1638,1
1639,1
1640,1
1641,0
1642,0
1643,0
1644,1
1645,1
1646,1
1647,1
1648,1
1649,1
1650,0
1651,0
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,0
1660,1
1661,0
1662,1
1663,1
1664,0
1665,0
1666,1
1667,1
1668,1
1669,0
1670,0
1671,0
1672,0
1673,0
1674,1
1675,1
1676,1
1677,1
1678,0
1679,0
1680,0
1681,1
1682,0
1683,0
1684,1
1685,1
1686,1
1687,1
1688,0
1689,0
1690,1
1691,0
1692,1
1693,1
1694,1
1695,1
1696,0
1697,1
1698,1
1699,0
1700,0
1701,1
1702,0
1703,0
1704,0
1705,1
1706,0
1707,0
1708,0
1709,0
1710,0
1711,1
1712,0
1713,1
1714,0
1715,0
1716,0
1717,0
1718,0
1719,0
1720,1
1721,0
1722,0
1723,1
1724,0
1725,1
1726,1
1727,0
1728,0
1729,1
1730,1
1731,1
1732,1
1733,1
1734,0
1735,0
1736,0
1737,1
1738,1
1739,1
1740,1
1741,1
1742,0
1743,1
1744,0
1745,0
1746,1
1747,1
1748,0
1749,0
1750,1
1751,0
1752,0
1753,1
1754,1
1755,1
1756,1
1757,0
1758,1
1759,1
1760,0
1761,0
1762,1
1763,0
1764,0
1765,0
1766,1
1767,1
1768,0
1769,0
1770,0
1771,0
1772,0
1773,0
1774,0
1775,0
1776,1
1777,0
1778,0
1779,0
1780,1
1781,1
1782,1
1783,1
1784,1
1785,0
1786,0
1787,1
1788,0
1789,0
1790,0
1791,0
1792,0
1793,0
1794,1
1795,1
1796,1
1797,1
1798,0
1799,0
1800,1
1801,0
1802,1
1803,0
1804,1
1805,1
1806,1
1807,1
1808,0
1809,0
1810,0
1811,0
1812,1
1813,1
1814,0
1815,0
1816,0
1817,1
1818,1
1819,1
1820,1
1821,0
1822,0
1823,1
1824,0
1825,0
1826,0
1827,1
1828,1
1829,0
1830,0
1831,0
1832,1
1833,0
1834,1
1835,0
1836,1
1837,0
1838,1
1839,0
1840,1
1841,0
1842,0
1843,0
1844,1
1845,0
1846,1
1847,0
1848,1
1849,0
1850,1
1851,0
1852,0
1853,0
1854,1
1855,1
1856,1
1857,1
1858,0
1859,1
1860,0
1861,1
1862,0
1863,1
1864,0
1865,1
1866,0
1867,1
1868,1
1869,1
1870,0
1871,0
1872,1
1873,0
1874,0
1875,0
1876,0
1877,1
1878,0
1879,1
1880,1
1881,0
1882,1
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,1
1892,0
1893,0
1894,0
1895,1
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,1
1910,1
1911,1
1912,1
1913,1
1914,0
1915,1
1916,1
1917,1
1918,0
1919,0
1920,1
1921,0
1922,1
1923,0
1924,0
1925,1
1926,1
1927,1
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,1
1939,1
1940,1
1941,0
1942,0
1943,0
1944,1
1945,1
1946,0
1947,1
1948,0
1949,0
1950,0
1951,0
1952,1
1953,0
1954,1
1955,0
1956,1
1957,0
1958,0
1959,0
1960,1
1961,0
1962,0
1963,0
1964,1
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,1
1974,0
1975,0
1976,1
1977,1
1978,0
1979,0
1980,0
1981,1
1982,0
1983,0
1984,1
1985,1
1986,0
1987,0
1988,1
1989,0
1990,1
1991,0
1992,0
1993,0
1994,1
1995,1
1996,0
1997,0
1998,1
1999,1
2000,0
2001,0
2002,1
2003,0
2004,0
2005,1
2006,1
2007,1
2008,0
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,0
2022,0
2023,0
2024,0
2025,0
2026,1
2027,1
2028,1
2029,1
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2041,1
2042,1
2043,0
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,1
2054,1
2055,1
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,1
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,1
2080,1
2081,1
2082,1
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2104,1
2105,1
2106,1
2107,1
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,1
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,1
2171,1
2172,1
2173,1
2174,1
2175,1
2176,1
2177,1
2178,1
2179,0
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2200,1
2201,1
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,1
2226,1
2227,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,1
2292,1
2293,1
2294,1
2295,1
2296,1
2297,1
2298,1
