urban,hhsize,head_gender,s2_q10_mktcentre,s2_q19_floormat,s2_q20_wallmat,s2_q21a_powergrid,ownasset_0,ownasset_1,ownasset_2,ownasset_3,ownasset_4,s3_q5a_attendchurch,s3_q7_visitother,s53_q6_hunger,s53_q6_staple,s5_q38_worryfood,s5_q42a_meat,s5_q42b_eggs,s5_q2_receivedfood,s5_q4_rent,s7_q2_sendgift,s9_q4_hospitalvisit,s9_q11_medsoutstock,s2_q15b_schoolchildren,s2_q15c_youngchildren,s2_q21_noadults,s2_q23_anyphone,s2_q24_numchild,s2_q2_age,s4_q12_num_ent,s5_q1,s5_q39a_hungryadult,s5_q39b_hungrychild,s5_q3a_food,s5_q3b_personal,s5_q3c_durables,s5_q3d_services,s5_q3e_comms,s5_q3f_housing,s5_q3g_utilities,s5_q3h_transport,s5_q3i_medical,s5_q40a_skippedadult,s5_q40b_skippedchild,s5_q41a_nofoodadult,s5_q41b_nofoodchild,wave,sum_s4_q19_earnings,sum_s4_q19_laidoff,sum_s4_q20_profits,sum_s4_q20_salestrend,sum_s4_q20c_survive,s7_q1_receivegifthh,s4_q1_agactivity
0,6,1,0,2,11,0,0,1,1,1,0,3,0,0,-1,0,0,0,0,0,0,0,1,0.5714285714285714,0.0,0.0,1,0.5714285714285714,25.0,-1.0,1500.0,0.0,0.0,380.0,100.0,100.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0,0
0,6,1,0,2,7,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0.5714285714285714,0.0,0.0,1,0.5714285714285714,26.0,-1.0,2000.0,0.0,0.0,800.0,100.0,100.0,50.0,50.0,200.0,300.0,100.0,100.0,0.0,0.0,0.0,0.0,5.0,7000.0,0.0,3000.0,9500.0,9.0,0,0
0,2,1,0,2,7,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1.3333333333333333,0.0,0.0,1,-1.0,26.0,-1.0,0.0,0.0,0.0,700.0,400.0,0.0,0.0,200.0,0.0,300.0,400.0,500.0,3.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0
1,5,1,1,2,7,1,0,1,1,1,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,2,-1.0,28.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,-1,3,16,1,1,0,0,0,0,2,0,1,-1,1,0,1,0,-1,1,0,1,0.0,0.0,-1.0,1,0.0,45.0,0.0,2.0,0.0,0.0,500.0,100.0,99.0,10.0,50.0,99.0,500.0,200.0,99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,1,3,-1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1,0.0,45.0,0.0,1000.0,4.0,7.0,1300.0,380.0,290.0,0.0,250.0,4000.0,0.0,500.0,0.0,7.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
1,0,0,1,2,16,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0.0,0.0,0.0,1,0.0,46.0,0.0,0.0,0.0,0.0,300.0,400.0,0.0,200.0,100.0,3500.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1,0
1,1,0,1,2,16,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0.0,0.0,0.0,1,-1.0,46.0,0.0,650.0,0.0,0.0,700.0,350.0,0.0,200.0,200.0,4500.0,800.0,0.0,1500.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-1,0
0,1,1,0,2,14,1,0,1,1,0,0,3,0,0,-1,1,0,0,0,-1,0,0,1,0.0,0.0,-1.0,2,0.0,23.0,1.0,0.0,0.0,0.0,800.0,200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1500.0,2.0,0,0
0,1,1,0,2,-1,1,0,1,1,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0.0,0.0,0.0,2,0.0,23.0,-1.0,15000.0,0.0,0.0,260.0,50.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,1,0,2,11,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,2.0,0.0,0.0,2,-1.0,23.0,-1.0,2000.0,0.0,0.0,1000.0,200.0,200.0,50.0,50.0,100.0,100.0,100.0,200.0,0.0,0.0,0.0,0.0,6.0,12000.0,0.0,8000.0,4000.0,6.0,-1,0
1,5,1,1,2,14,1,0,1,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,2,-1.0,25.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,2.0,0.0,0.0,8.0,6000.0,0.0,3500.0,0.0,0.0,0,0
0,4,0,0,2,7,1,0,1,1,1,0,3,0,0,-1,1,0,0,0,-1,0,0,1,0.4,0.2,-1.0,1,0.4,29.0,0.0,0.0,2.0,0.0,400.0,600.0,0.0,0.0,50.0,4000.0,100.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,4,0,0,2,-1,1,0,1,1,1,0,2,1,1,1,1,0,0,0,1,0,0,-1,0.4,0.2,0.0,1,0.4,26.0,0.0,0.0,2.0,2.0,2100.0,0.0,0.0,0.0,50.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
1,2,0,1,2,-1,1,0,0,1,0,0,3,0,1,1,1,0,0,0,1,0,1,1,0.0,0.3333333333333333,0.0,2,0.0,32.0,0.0,0.0,0.0,0.0,400.0,150.0,0.0,0.0,50.0,0.0,100.0,0.0,1200.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
1,1,0,1,2,11,1,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0.0,0.5,0.0,2,-1.0,32.0,1.0,1500.0,0.0,0.0,800.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,6.0,4000.0,0.0,2000.0,4000.0,2.0,-1,0
1,1,0,1,7,11,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0.0,0.5,0.0,2,-1.0,34.0,-1.0,1500.0,0.0,0.0,600.0,100.0,100.0,100.0,100.0,100.0,200.0,100.0,100.0,0.0,0.0,0.0,0.0,7.0,6000.0,0.0,2400.0,3000.0,4.0,0,0
0,6,0,-1,3,-1,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,1,0.2857142857142857,0.42857142857142855,0.0,1,0.7142857142857143,42.0,0.0,400.0,0.0,0.0,200.0,0.0,-1.0,100.0,50.0,0.0,200.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,6,0,-1,0,7,0,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0.2857142857142857,0.42857142857142855,0.0,1,0.7142857142857143,42.0,0.0,800.0,2.0,5.0,1200.0,400.0,560.0,180.0,200.0,0.0,340.0,120.0,300.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,-1,3,5,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1.0,1.5,0.0,2,-1.0,42.0,2.0,2000.0,0.0,0.0,1000.0,100.0,100.0,50.0,50.0,100.0,100.0,250.0,250.0,0.0,0.0,0.0,0.0,6.0,7000.0,0.0,7000.0,11500.0,4.0,-1,1
0,4,0,0,3,6,0,0,1,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,2,-1.0,42.0,-1.0,-1.0,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0
0,13,1,-1,-1,16,0,1,0,0,0,0,3,0,0,-1,1,0,0,0,-1,0,1,1,0.5,0.07142857142857142,-1.0,1,0.5,46.0,0.0,2.0,3.0,1.0,120.0,150.0,99.0,20.0,99.0,99.0,300.0,150.0,1000.0,3.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,14,1,-1,-1,-1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.4,0.06666666666666667,2.0,1,0.4,46.0,0.0,99.0,0.0,0.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
0,12,1,-1,3,1,0,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0.46153846153846156,0.07692307692307693,0.0,2,0.5384615384615384,42.0,0.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,150.0,0.0,120.0,0.0,0.0,7.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0
0,7,1,-1,3,5,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0.75,0.125,0.0,1,-1.0,42.0,1.0,4000.0,1.0,0.0,2500.0,200.0,200.0,50.0,50.0,200.0,300.0,200.0,300.0,1.0,0.0,1.0,0.0,6.0,4000.0,0.0,2000.0,4000.0,2.0,-1,0
0,6,1,-1,3,5,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0.8571428571428571,0.14285714285714285,0.0,1,-1.0,42.0,-1.0,2500.0,0.0,0.0,1500.0,100.0,100.0,100.0,100.0,300.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1,0
0,7,0,0,2,7,1,0,1,1,1,0,3,0,0,-1,1,0,0,0,-1,0,0,1,0.625,0.0,-1.0,1,0.625,23.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.0,0.0,50.0,3500.0,200.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,7,0,0,2,-1,1,0,1,1,1,0,2,0,1,1,1,0,0,0,1,0,0,1,0.625,0.0,0.0,2,0.625,24.0,0.0,0.0,0.0,0.0,1500.0,250.0,-1.0,0.0,100.0,0.0,150.0,550.0,0.0,7.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,2,0,0,3,7,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1.6666666666666667,0.0,0.0,1,-1.0,24.0,0.0,600.0,0.0,0.0,500.0,0.0,150.0,420.0,200.0,0.0,350.0,700.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,-1,0
0,2,1,0,2,11,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1.6666666666666667,0.0,0.0,1,-1.0,25.0,1.0,2000.0,0.0,0.0,800.0,100.0,100.0,200.0,100.0,200.0,100.0,100.0,300.0,0.0,0.0,0.0,0.0,7.0,3000.0,0.0,1500.0,3000.0,2.0,0,0
1,7,1,1,5,5,1,0,1,1,1,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,2,-1.0,26.0,-1.0,-1.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,3.0,3.0,3.0,8.0,3600.0,0.0,3600.0,0.0,0.0,1,0
0,0,0,-1,3,7,0,0,0,1,1,0,3,1,0,-1,1,0,0,0,-1,0,0,1,0.0,0.0,-1.0,1,0.0,25.0,0.0,0.0,0.0,0.0,700.0,100.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,-1,3,-1,0,0,0,1,1,0,2,0,1,0,1,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0.0,25.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,-1,3,-1,0,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0,-1,0.0,0.0,0.0,1,0.0,25.0,0.0,0.0,4.0,0.0,200.0,0.0,-1.0,100.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,0,-1,3,1,0,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1,0.0,26.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,50.0,40.0,0.0,80.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0
0,1,0,-1,2,11,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0.0,0.0,1.0,1,-1.0,26.0,1.0,1500.0,0.0,0.0,800.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,6.0,4000.0,0.0,2000.0,4000.0,2.0,-1,0
0,10,0,1,3,7,0,0,0,1,1,0,-1,-1,0,0,0,1,0,-1,-1,-1,-1,-1,-1.0,-1.0,1.0,4,-1.0,26.0,2.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,8.0,60000.0,0.0,12250.0,0.0,0.0,0,1
0,0,1,-1,3,10,0,1,0,0,0,0,3,0,1,-1,1,0,1,0,-1,0,0,1,0.0,0.0,-1.0,1,0.0,37.0,0.0,500.0,1.0,0.0,200.0,50.0,0.0,50.0,100.0,0.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,1,-1,3,-1,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1,0.0,37.0,0.0,1500.0,0.0,0.0,280.0,0.0,-1.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,0
0,0,1,-1,2,15,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0.0,0.0,0.0,1,0.0,38.0,0.0,0.0,0.0,0.0,200.0,400.0,0.0,50.0,50.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,1,0,5,5,0,1,0,0,0,0,-1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,1,-1.0,40.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1,0
0,4,1,-1,3,-1,0,0,0,1,0,0,3,0,1,-1,1,0,0,0,-1,1,0,1,0.4,0.0,-1.0,2,0.4,22.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,200.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
0,4,0,-1,3,9,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.4,0.0,0.0,1,0.4,23.0,0.0,0.0,0.0,0.0,200.0,100.0,0.0,80.0,30.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0
0,3,1,-1,3,7,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0.5,0.0,1.0,2,-1.0,23.0,0.0,900.0,0.0,0.0,1100.0,600.0,0.0,300.0,200.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1,0
0,3,0,-1,5,5,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.5,0.0,0.0,2,-1.0,24.0,0.0,2200.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0,0
0,5,0,1,3,7,0,0,0,1,0,0,-1,-1,1,1,1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,1,-1.0,24.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0,0
0,-1,0,0,2,-1,1,0,0,1,1,0,3,0,1,1,1,0,0,0,0,0,0,1,-1.0,-1.0,0.0,5,-1.0,24.0,1.0,0.0,0.0,0.0,4500.0,500.0,0.0,200.0,600.0,0.0,1000.0,300.0,0.0,0.0,0.0,0.0,0.0,2.0,8000.0,0.0,3500.0,10000.0,1.0,0,0
0,-1,1,0,2,-1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,-1.0,-1.0,0.0,4,-1.0,24.0,-1.0,0.0,0.0,0.0,900.0,400.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,-1
0,-1,1,0,0,7,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,-1.0,-1.0,0.0,4,-1.0,23.0,-1.0,0.0,1.0,1.0,3500.0,300.0,4000.0,100.0,350.0,0.0,150.0,500.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0,1
0,-1,1,0,2,14,1,0,0,1,1,0,2,0,1,1,1,0,0,0,0,0,0,1,-1.0,-1.0,1.0,2,-1.0,23.0,-1.0,0.0,0.0,0.0,2000.0,400.0,0.0,300.0,100.0,0.0,140.0,350.0,0.0,7.0,0.0,0.0,0.0,5.0,15000.0,0.0,4000.0,26000.0,6.0,0,0
0,-1,1,0,2,11,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,-1.0,-1.0,0.0,3,-1.0,25.0,-1.0,0.0,0.0,0.0,2500.0,1000.0,0.0,250.0,100.0,0.0,100.0,200.0,0.0,0.0,0.0,0.0,0.0,7.0,20000.0,0.0,6000.0,0.0,6.0,0,0
0,-1,0,1,2,14,0,0,0,1,1,0,-1,-1,0,0,1,1,0,-1,-1,-1,-1,-1,-1.0,-1.0,0.0,4,-1.0,26.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,0.0,0.0,0.0,8.0,20000.0,0.0,8000.0,0.0,0.0,0,0
1,4,1,1,2,-1,1,0,1,1,1,1,3,0,0,0,1,0,1,0,1,0,0,1,0.2,0.0,1.0,2,0.2,49.0,0.0,2000.0,4.0,3.0,1000.0,0.0,1000.0,0.0,300.0,1500.0,600.0,500.0,2000.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0
